id,symbol,last_price,best_bid,best_ask,spread,spread_percent,volume,timestamp
1,BTCIRT,12375346149.0,12350419259.0,12380141134.0,29721875.0,0.24065478569353888,0.0,1785495967
2,ETHIRT,365526499.0,364488234.0,365750000.0,1261766.0,0.3461746861216925,0.0,1785495967
3,BNBIRT,113833408.0,114332435.0,114500000.0,167565.0,0.1465594605765197,0.0,1785495967
4,SOLIRT,14197576.0,14216111.0,14234567.0,18456.0,0.12982453499413446,0.0,1785495967
5,XRPIRT,207395.0,207473.0,208155.0,682.0,0.3287174716710126,0.0,1785495967
6,DOGEIRT,13460.0,13417.0,13485.0,68.0,0.5068197063426996,0.0,1785495967
7,BTCIRT,12375346149.0,12346292038.0,12380141133.0,33849095.0,0.2741640558624213,0.0,1785495986
8,ETHIRT,365246582.0,364305817.0,365749999.0,1444182.0,0.39642024162353684,0.0,1785495986
9,BNBIRT,113833408.0,114332435.0,114500000.0,167565.0,0.1465594605765197,0.0,1785495986
10,SOLIRT,14197576.0,14216110.0,14234567.0,18457.0,0.12983157839943557,0.0,1785495986
11,XRPIRT,207395.0,207474.0,208155.0,681.0,0.32823389918736806,0.0,1785495986
12,DOGEIRT,13460.0,13417.0,13485.0,68.0,0.5068197063426996,0.0,1785495986
13,BTCIRT,12375346149.0,12346292039.0,12380141133.0,33849094.0,0.27416404774061737,0.0,1785495993
14,ETHIRT,365246582.0,364305817.0,365749999.0,1444182.0,0.39642024162353684,0.0,1785495993
15,BNBIRT,114500000.0,114500000.0,114967957.0,467957.0,0.40869606986899565,0.0,1785495993
16,SOLIRT,14197576.0,14216110.0,14234567.0,18457.0,0.12983157839943557,0.0,1785495993
17,XRPIRT,207395.0,207474.0,208155.0,681.0,0.32823389918736806,0.0,1785495993
18,DOGEIRT,13460.0,13417.0,13485.0,68.0,0.5068197063426996,0.0,1785495993
19,BTCIRT,12375346149.0,12340115707.0,12380141133.0,40025426.0,0.3243521126572205,0.0,1785496000
20,ETHIRT,365246582.0,364233147.0,365749999.0,1516852.0,0.41645083993412607,0.0,1785496000
21,BNBIRT,114500000.0,114500000.0,114967957.0,467957.0,0.40869606986899565,0.0,1785496000
22,SOLIRT,14197576.0,14216110.0,14234567.0,18457.0,0.12983157839943557,0.0,1785496000
23,XRPIRT,207395.0,207474.0,208155.0,681.0,0.32823389918736806,0.0,1785496000
24,DOGEIRT,13460.0,13425.0,13485.0,60.0,0.44692737430167595,0.0,1785496000
25,BTCIRT,12375346149.0,12340115708.0,12380141132.0,40025424.0,0.32435209642363266,0.0,1785496013
26,ETHIRT,365246582.0,364233147.0,365749999.0,1516852.0,0.41645083993412607,0.0,1785496013
27,BNBIRT,114500000.0,114500000.0,114967957.0,467957.0,0.40869606986899565,0.0,1785496013
28,SOLIRT,14197576.0,14210206.0,14234566.0,24360.0,0.17142608629318956,0.0,1785496013
29,XRPIRT,207395.0,207347.0,208155.0,808.0,0.3896849243056326,0.0,1785496013
30,DOGEIRT,13460.0,13422.0,13474.0,52.0,0.3874236328416033,0.0,1785496013
31,BTCIRT,12375346149.0,12341025309.0,12377008890.0,35983581.0,0.29157691601003427,0.0,1785496024
32,ETHIRT,365246582.0,364233147.0,365749999.0,1516852.0,0.41645083993412607,0.0,1785496024
33,BNBIRT,114500000.0,114500000.0,114967957.0,467957.0,0.40869606986899565,0.0,1785496024
34,SOLIRT,14197576.0,14210206.0,14234566.0,24360.0,0.17142608629318956,0.0,1785496024
35,XRPIRT,207395.0,207334.0,208155.0,821.0,0.3959794341497294,0.0,1785496024
36,DOGEIRT,13460.0,13420.0,13473.0,53.0,0.39493293591654244,0.0,1785496024
37,BTCIRT,12375346149.0,12341025309.0,12377008890.0,35983581.0,0.29157691601003427,0.0,1785496032
38,ETHIRT,365246582.0,364233147.0,365749999.0,1516852.0,0.41645083993412607,0.0,1785496032
39,BNBIRT,114500000.0,114500000.0,114967957.0,467957.0,0.40869606986899565,0.0,1785496032
40,SOLIRT,14197576.0,14210206.0,14234566.0,24360.0,0.17142608629318956,0.0,1785496032
41,XRPIRT,207395.0,207336.0,208155.0,819.0,0.39501099664313,0.0,1785496032
42,DOGEIRT,13460.0,13419.0,13473.0,54.0,0.4024144869215292,0.0,1785496032
43,BTCIRT,12375346149.0,12334851613.0,12377008890.0,42157277.0,0.3417736858347726,0.0,1785496039
44,ETHIRT,365246582.0,364233147.0,365749999.0,1516852.0,0.41645083993412607,0.0,1785496039
45,BNBIRT,114500000.0,114500000.0,114967957.0,467957.0,0.40869606986899565,0.0,1785496039
46,SOLIRT,14197576.0,14210206.0,14234566.0,24360.0,0.17142608629318956,0.0,1785496039
47,XRPIRT,207395.0,207336.0,208155.0,819.0,0.39501099664313,0.0,1785496039
48,DOGEIRT,13460.0,13420.0,13473.0,53.0,0.39493293591654244,0.0,1785496039
49,BTCIRT,12375346149.0,12334851614.0,12377008890.0,42157276.0,0.34177367769995454,0.0,1785496111
50,BNBIRT,114500000.0,114500000.0,114967957.0,467957.0,0.40869606986899565,0.0,1785496111
51,SOLIRT,14197576.0,14210206.0,14234566.0,24360.0,0.17142608629318956,0.0,1785496111
52,XRPIRT,208155.0,207258.0,208155.0,897.0,0.43279390904090553,0.0,1785496111
53,DOGEIRT,13460.0,13418.0,13468.0,50.0,0.3726337755254136,0.0,1785496111
54,BTCIRT,12375346149.0,12334592741.0,12374138307.0,39545566.0,0.3206069858192491,0.0,1785496119
55,ETHIRT,364233147.0,364233147.0,365566835.0,1333688.0,0.3661632695939121,0.0,1785496119
56,BNBIRT,114500000.0,114500000.0,114967957.0,467957.0,0.40869606986899565,0.0,1785496119
57,SOLIRT,14197576.0,14210206.0,14234566.0,24360.0,0.17142608629318956,0.0,1785496119
58,XRPIRT,208155.0,207258.0,208155.0,897.0,0.43279390904090553,0.0,1785496119
59,DOGEIRT,13460.0,13417.0,13471.0,54.0,0.40247447268390846,0.0,1785496119
60,BTCIRT,12375346149.0,12334592741.0,12374138307.0,39545566.0,0.3206069858192491,0.0,1785496126
61,ETHIRT,364233147.0,364233147.0,365566835.0,1333688.0,0.3661632695939121,0.0,1785496126
62,BNBIRT,114500000.0,114500000.0,114967957.0,467957.0,0.40869606986899565,0.0,1785496126
63,SOLIRT,14197576.0,14210206.0,14234566.0,24360.0,0.17142608629318956,0.0,1785496126
64,XRPIRT,208155.0,207258.0,208155.0,897.0,0.43279390904090553,0.0,1785496126
65,DOGEIRT,13460.0,13415.0,13459.0,44.0,0.32799105478941487,0.0,1785496126
66,BTCIRT,12375346149.0,12334592741.0,12374138307.0,39545566.0,0.3206069858192491,0.0,1785496133
67,ETHIRT,364233147.0,364233147.0,365351182.0,1118035.0,0.30695586308074263,0.0,1785496133
68,BNBIRT,114500000.0,114500000.0,114779081.0,279081.0,0.24373886462882097,0.0,1785496133
69,SOLIRT,14197576.0,14210206.0,14234567.0,24361.0,0.1714331234888502,0.0,1785496133
70,XRPIRT,208155.0,207247.0,208155.0,908.0,0.43812455668839595,0.0,1785496133
71,DOGEIRT,13460.0,13411.0,13476.0,65.0,0.484676757885318,0.0,1785496133
72,BTCIRT,12375346149.0,12334592741.0,12380141133.0,45548392.0,0.3692735784343964,0.0,1785496141
73,ETHIRT,364233147.0,364233147.0,365444718.0,1211571.0,0.3326361178215337,0.0,1785496141
74,BNBIRT,114500000.0,114500000.0,114909882.0,409882.0,0.3579755458515284,0.0,1785496141
75,SOLIRT,14197576.0,14210206.0,14234567.0,24361.0,0.1714331234888502,0.0,1785496141
76,XRPIRT,208155.0,207257.0,208155.0,898.0,0.4332784899906879,0.0,1785496141
77,DOGEIRT,13460.0,13416.0,13470.0,54.0,0.40250447227191416,0.0,1785496141
78,BTCIRT,12375346149.0,12334592741.0,12380141132.0,45548391.0,0.36927357032711616,0.0,1785496149
79,ETHIRT,364233147.0,364233147.0,365444717.0,1211570.0,0.33263584327211165,0.0,1785496149
80,BNBIRT,114500000.0,114500000.0,114909881.0,409881.0,0.357974672489083,0.0,1785496149
81,SOLIRT,14197576.0,14210206.0,14234566.0,24360.0,0.17142608629318956,0.0,1785496149
82,XRPIRT,208155.0,207243.0,208155.0,912.0,0.4400631143150794,0.0,1785496149
83,DOGEIRT,13460.0,13434.0,13470.0,36.0,0.2679767753461367,0.0,1785496149
84,BTCIRT,12375346149.0,12334592741.0,12380141131.0,45548390.0,0.3692735622198359,0.0,1785496156
85,ETHIRT,364233147.0,364233147.0,365444717.0,1211570.0,0.33263584327211165,0.0,1785496156
86,BNBIRT,114500000.0,114500000.0,114922604.0,422604.0,0.36908646288209607,0.0,1785496156
87,SOLIRT,14205045.0,14205045.0,14234566.0,29521.0,0.20782053136755288,0.0,1785496156
88,XRPIRT,208155.0,207245.0,208155.0,910.0,0.43909382614779613,0.0,1785496156
89,DOGEIRT,13460.0,13434.0,13469.0,35.0,0.2605329760309662,0.0,1785496156
90,BTCIRT,12375346149.0,12347550990.0,12380085942.0,32534952.0,0.2634931576824369,0.0,1785496203
91,ETHIRT,364233147.0,364233148.0,365444717.0,1211569.0,0.3326355678094406,0.0,1785496203
92,BNBIRT,114500000.0,114500000.0,114912254.0,412254.0,0.3600471615720524,0.0,1785496203
93,SOLIRT,14205045.0,14201763.0,14234567.0,32804.0,0.23098540653016109,0.0,1785496203
94,XRPIRT,208155.0,207261.0,208155.0,894.0,0.43134019424783243,0.0,1785496203
95,BTCIRT,12375346149.0,12336883154.0,12378438537.0,41555383.0,0.33683858784482734,0.0,1785496210
96,ETHIRT,364233147.0,364233148.0,365444717.0,1211569.0,0.3326355678094406,0.0,1785496210
97,BNBIRT,114500000.0,114260344.0,114763595.0,503251.0,0.4404423988081114,0.0,1785496210
98,SOLIRT,14205045.0,14200726.0,14234566.0,33840.0,0.23829767576671784,0.0,1785496210
99,XRPIRT,208155.0,207258.0,208124.0,866.0,0.4178367059413871,0.0,1785496210
100,DOGEIRT,13460.0,13423.0,13473.0,50.0,0.3724949713178872,0.0,1785496210
101,BTCIRT,12375346149.0,12330441417.0,12378438536.0,47997119.0,0.38925710261942686,0.0,1785496218
102,ETHIRT,364233147.0,364233148.0,365444717.0,1211569.0,0.3326355678094406,0.0,1785496218
